4.3,49.6,6.5,1.7,1
5,58.1,6.5,2.1,1
5.8,49.6,6.3,2.5,1
5.3,40,10.7,2.7,1
6.6,38,9,2.4,1
6.8,48,11.1,2.9,1
5.4,43.6,11,3.5,1
5,48.7,12,4,1
5.2,59.9,13.7,4.8,1
5.1,44,15.2,5.1,1
5.1,25.6,15.8,5.6,1
5.5,18.2,15.5,6.5,1
4.1,17.5,14.1,5.4,1
3.6,10.1,13.7,4.4,1
2.9,-1.5,14.3,4.1,1
3.1,1.5,11.9,3,1
3.3,-2,12.9,2.1,1
3.3,-17.4,10.2,1,0
3.6,-12.2,8.4,0.4,0
3.5,-19.7,5.9,-0.1,0
3.1,-26.5,5.4,-0.8,0
3.2,-19.9,3,-1.5,0
3.1,-3.3,2.1,-2.1,0
2.3,3,2.6,-2.6,0
2.6,-5.3,2.4,-2,0
1.1,-8.9,3.4,-0.9,0
1,-1.9,3.3,-0.5,0
0.1,-6.4,3.8,0.6,0
